attack,alpha,round,n_runs,gas_AUC_mean,gas_AUC_std,gas_AUC_min,gas_AUC_max,gas_gain_mean,gas_gain_std,gas_gain_min,gas_gain_max,L1L2_caught_mean,L1L2_caught_std,L1L2_caught_min,L1L2_caught_max,gas_caught_topk_mean,gas_caught_topk_std,gas_caught_topk_min,gas_caught_topk_max,n_attacker_mean,n_attacker_std,n_attacker_min,n_attacker_max,DR_probe_mean,DR_probe_std,DR_probe_min,DR_probe_max
alie,0.1,15,3,0.5618,0.0786,0.4922,0.6471,0.3333,0.5774,0.0000,1.0000,2.0000,0.0000,2.0000,2.0000,2.3333,0.5774,2.0000,3.0000,7.3333,0.5774,7.0000,8.0000,0.2738,0.0206,0.2500,0.2857
alie,0.1,25,3,0.6084,0.0188,0.5938,0.6296,-0.6667,1.1547,-2.0000,0.0000,2.3333,1.1547,1.0000,3.0000,1.6667,1.1547,1.0000,3.0000,6.6667,1.1547,6.0000,8.0000,0.3472,0.1684,0.1667,0.5000
alie,0.1,35,3,0.5891,0.1033,0.4766,0.6797,1.0000,1.0000,0.0000,2.0000,2.0000,1.0000,1.0000,3.0000,3.0000,1.0000,2.0000,4.0000,7.3333,1.1547,6.0000,8.0000,0.2778,0.1339,0.1250,0.3750
alie,0.1,45,3,0.6312,0.0320,0.6000,0.6639,1.0000,1.7321,-1.0000,2.0000,2.3333,0.5774,2.0000,3.0000,3.3333,1.1547,2.0000,4.0000,7.3333,1.5275,6.0000,9.0000,0.3360,0.1456,0.2222,0.5000
alie,0.25,15,3,0.8307,0.0653,0.7563,0.8786,4.3333,3.2146,2.0000,8.0000,0.6667,0.5774,0.0000,1.0000,5.0000,2.6458,3.0000,8.0000,8.0000,1.7321,7.0000,10.0000,0.0953,0.0825,0.0000,0.1429
alie,0.25,25,3,0.8093,0.0524,0.7563,0.8611,2.6667,0.5774,2.0000,3.0000,0.6667,0.5774,0.0000,1.0000,3.3333,0.5774,3.0000,4.0000,6.0000,1.0000,5.0000,7.0000,0.1032,0.0902,0.0000,0.1667
alie,0.25,35,3,0.8757,0.0276,0.8571,0.9074,2.6667,1.1547,2.0000,4.0000,0.6667,1.1547,0.0000,2.0000,3.3333,1.1547,2.0000,4.0000,5.6667,1.5275,4.0000,7.0000,0.1111,0.1924,0.0000,0.3333
alie,0.25,45,3,0.8268,0.0247,0.8000,0.8487,3.6667,3.5119,0.0000,7.0000,1.0000,1.0000,0.0000,2.0000,4.6667,3.0551,2.0000,8.0000,7.3333,2.5166,5.0000,10.0000,0.1667,0.2082,0.0000,0.4000
gaussian_noise,0.1,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.3333,1.5275,6.0000,9.0000,7.3333,1.5275,6.0000,9.0000,7.3333,1.5275,6.0000,9.0000,1.0000,0.0000,1.0000,1.0000
gaussian_noise,0.1,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,5.3333,0.5774,5.0000,6.0000,5.3333,0.5774,5.0000,6.0000,5.3333,0.5774,5.0000,6.0000,1.0000,0.0000,1.0000,1.0000
