attack,alpha,n_runs,pct_mom_cleaner_mean,pct_mom_cleaner_std,pct_mom_cleaner_min,pct_mom_cleaner_max,avg_cos_mom_mean,avg_cos_mom_std,avg_cos_mom_min,avg_cos_mom_max,avg_cos_med_mean,avg_cos_med_std,avg_cos_med_min,avg_cos_med_max,slope_cos_mom_mean,slope_cos_mom_std,slope_cos_mom_min,slope_cos_mom_max,drift_majority,drift_agreement
alie,0.1,3,10.0000,4.3301,5.0000,12.5000,0.9899,0.0015,0.9883,0.9912,0.9937,0.0013,0.9922,0.9947,-0.0002,0.0001,-0.0003,-0.0001,STABLE,1.00
alie,0.25,3,3.3333,2.8868,0.0000,5.0000,0.9950,0.0012,0.9937,0.9961,0.9972,0.0006,0.9966,0.9979,-0.0001,0.0000,-0.0001,-0.0000,STABLE,1.00
gaussian_noise,0.1,3,20.0000,4.3301,17.5000,25.0000,0.9927,0.0012,0.9916,0.9939,0.9957,0.0007,0.9952,0.9965,-0.0001,0.0001,-0.0001,0.0000,STABLE,1.00
gaussian_noise,0.25,3,11.6667,1.4434,10.0000,12.5000,0.9954,0.0006,0.9949,0.9960,0.9975,0.0003,0.9972,0.9978,0.0000,0.0000,-0.0000,0.0000,STABLE,1.00
label_flip,0.1,3,30.8333,16.0728,12.5000,42.5000,0.9935,0.0003,0.9932,0.9938,0.9951,0.0007,0.9943,0.9957,-0.0001,0.0001,-0.0002,-0.0000,STABLE,1.00
label_flip,0.25,3,10.0000,4.3301,7.5000,15.0000,0.9952,0.0004,0.9948,0.9956,0.9975,0.0000,0.9975,0.9976,-0.0000,0.0000,-0.0000,0.0000,STABLE,1.00
minmax,0.1,3,1.6667,1.4434,0.0000,2.5000,0.3044,0.0874,0.2113,0.3847,0.9887,0.0034,0.9863,0.9926,-0.0262,0.0059,-0.0312,-0.0197,DRIFT,1.00
minmax,0.25,3,0.0000,0.0000,0.0000,0.0000,0.5126,0.2330,0.3431,0.7783,0.9925,0.0038,0.9903,0.9968,-0.0252,0.0103,-0.0337,-0.0138,DRIFT,1.00
on_off,0.1,3,35.0000,6.6144,27.5000,40.0000,0.9933,0.0008,0.9925,0.9940,0.9943,0.0007,0.9936,0.9949,-0.0000,0.0001,-0.0001,0.0001,STABLE,1.00
on_off,0.25,3,15.0000,7.5000,7.5000,22.5000,0.9958,0.0001,0.9957,0.9960,0.9974,0.0004,0.9970,0.9978,-0.0000,0.0000,-0.0000,-0.0000,STABLE,1.00
sign_flip,0.1,3,30.8333,8.7797,22.5000,40.0000,0.9915,0.0017,0.9895,0.9925,0.9936,0.0010,0.9924,0.9944,-0.0001,0.0001,-0.0002,-0.0000,STABLE,1.00
sign_flip,0.25,3,18.3333,8.7797,10.0000,27.5000,0.9961,0.0002,0.9959,0.9963,0.9971,0.0001,0.9970,0.9972,-0.0000,0.0000,-0.0000,0.0000,STABLE,1.00
slow_poison,0.1,3,84.1667,6.2915,77.5000,90.0000,0.9908,0.0019,0.9888,0.9923,0.9771,0.0016,0.9760,0.9790,-0.0001,0.0001,-0.0003,0.0000,STABLE,1.00
slow_poison,0.25,3,40.0000,4.3301,37.5000,45.0000,0.9954,0.0004,0.9950,0.9958,0.9956,0.0011,0.9944,0.9964,-0.0000,0.0001,-0.0001,-0.0000,STABLE,1.00
alie,0.5,3,4.1667,3.8188,0.0000,7.5000,0.9955,0.0001,0.9953,0.9956,0.9977,0.0001,0.9976,0.9978,-0.0001,0.0000,-0.0001,-0.0000,STABLE,1.00
alie,1.0,3,3.3333,2.8868,0.0000,5.0000,0.9971,0.0001,0.9970,0.9972,0.9982,0.0001,0.9981,0.9983,-0.0000,0.0000,-0.0000,0.0000,STABLE,1.00
gaussian_noise,0.5,3,18.3333,5.2042,12.5000,22.5000,0.9965,0.0004,0.9960,0.9969,0.9979,0.0003,0.9975,0.9981,0.0000,0.0000,0.0000,0.0000,STABLE,1.00
gaussian_noise,1.0,3,22.5000,9.0139,15.0000,32.5000,0.9977,0.0001,0.9976,0.9978,0.9984,0.0001,0.9982,0.9984,0.0000,0.0000,0.0000,0.0000,STABLE,1.00
label_flip,0.5,3,10.0000,2.5000,7.5000,12.5000,0.9953,0.0003,0.9949,0.9955,0.9973,0.0002,0.9970,0.9974,-0.0000,0.0000,-0.0000,0.0000,STABLE,1.00
label_flip,1.0,3,18.3333,2.8868,15.0000,20.0000,0.9951,0.0003,0.9948,0.9954,0.9968,0.0003,0.9965,0.9971,-0.0000,0.0000,-0.0001,-0.0000,STABLE,1.00
minmax,0.5,3,6.6667,3.8188,2.5000,10.0000,0.9957,0.0006,0.9953,0.9964,0.9978,0.0003,0.9976,0.9981,0.0000,0.0000,-0.0000,0.0000,STABLE,1.00
minmax,1.0,3,0.8333,1.4434,0.0000,2.5000,0.9720,0.0169,0.9544,0.9881,0.9955,0.0022,0.9931,0.9974,-0.0012,0.0018,-0.0032,0.0003,STABLE,1.00
on_off,0.5,3,15.8333,2.8868,12.5000,17.5000,0.9963,0.0003,0.9961,0.9966,0.9978,0.0003,0.9976,0.9981,0.0000,0.0000,0.0000,0.0000,STABLE,1.00
on_off,1.0,3,22.5000,6.6144,15.0000,27.5000,0.9976,0.0002,0.9974,0.9978,0.9983,0.0001,0.9982,0.9985,0.0000,0.0000,0.0000,0.0000,STABLE,1.00
sign_flip,0.5,3,38.3333,8.0364,32.5000,47.5000,0.9965,0.0002,0.9963,0.9966,0.9971,0.0002,0.9969,0.9974,0.0000,0.0000,-0.0000,0.0000,STABLE,1.00
sign_flip,1.0,3,41.6667,8.0364,32.5000,47.5000,0.9972,0.0004,0.9969,0.9976,0.9975,0.0003,0.9973,0.9978,0.0000,0.0000,0.0000,0.0000,STABLE,1.00
slow_poison,0.5,3,25.0000,4.3301,20.0000,27.5000,0.9966,0.0004,0.9961,0.9970,0.9974,0.0003,0.9971,0.9977,0.0000,0.0000,-0.0000,0.0000,STABLE,1.00
slow_poison,1.0,3,28.3333,8.7797,20.0000,37.5000,0.9976,0.0002,0.9974,0.9978,0.9981,0.0002,0.9979,0.9983,0.0000,0.0000,0.0000,0.0000,STABLE,1.00
