config,attack,alpha,avg_DR_mean,avg_DR_std,avg_DR_min,avg_DR_max,avg_DR_n,avg_FPR_mean,avg_FPR_std,avg_FPR_min,avg_FPR_max,avg_FPR_n,final_acc_mean,final_acc_std,final_acc_min,final_acc_max,final_acc_n,avg_ASR_mean,avg_ASR_std,avg_ASR_min,avg_ASR_max,avg_ASR_n,warmup_ok_all
C0,alie,0.1,0.29045128205128207,0.014293369588770281,0.2747282051282051,0.3026589743589743,3,0.3882435897435897,0.019401643077562775,0.3720153846153846,0.40973333333333334,3,0.49899999999999994,0.0702121784308107,0.4225,0.5605,3,,,,,0,True
C0,alie,0.25,0.19051538461538464,0.008779805814371237,0.18149743589743592,0.19903589743589745,3,0.10578547008547008,0.0030832971727005054,0.10332307692307693,0.10924358974358973,3,0.6951666666666667,0.011856784274554897,0.682,0.705,3,,,,,0,True
C0,alie,0.5,0.17653247863247865,0.002988749816512312,0.17322564102564103,0.17904102564102564,3,0.05173504273504273,0.013189436116499635,0.04352051282051282,0.06694871794871794,3,0.7183333333333334,0.01673569040503957,0.6995,0.7315,3,,,,,0,True
C0,alie,1.0,0.002493162393162393,0.0022243443187773063,0.0,0.004274358974358974,3,0.010585470085470087,0.0025138306882812786,0.007697435897435898,0.012282051282051282,3,0.6706666666666666,0.08825578356874597,0.5705,0.737,3,,,,,0,True
C0,gaussian_noise,0.1,1.0,0.0,1.0,1.0,4,0.297469402791481,0.010230829268985284,0.28853589743589747,0.31216666666666665,4,0.638625,0.0066630198358802505,0.6305,0.646,4,,,,,0,False
C0,gaussian_noise,0.25,1.0,0.0,1.0,1.0,3,0.09166923076923077,0.00457713854265509,0.08711794871794871,0.09627179487179487,3,0.7171666666666666,0.015250683044812603,0.702,0.7325,3,,,,,0,True
C0,gaussian_noise,0.5,1.0,0.0,1.0,1.0,3,0.016833333333333332,0.008207936618733518,0.007487179487179487,0.02286923076923077,3,0.7528333333333334,0.033257831157989436,0.7145,0.774,3,,,,,0,True
C0,gaussian_noise,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,0.797,0.005196152422706636,0.791,0.8,3,,,,,0,True
C0,label_flip,0.1,0.36977350427350425,0.011511054725339701,0.358674358974359,0.3816564102564103,3,0.3365888888888889,0.03900113118382893,0.30467692307692307,0.38006410256410256,3,0.5943333333333333,0.03980368492154132,0.567,0.64,3,,,,,0,True
C0,label_flip,0.25,0.2825555555555555,0.01461518540874889,0.2668333333333333,0.29572820512820513,3,0.09254358974358974,0.0028210337514274716,0.08961538461538462,0.09524358974358975,3,0.7191666666666666,0.005795112883571267,0.713,0.7245,3,,,,,0,True
C0,label_flip,0.5,0.2806623931623931,0.046365778682442925,0.2529487179487179,0.33418974358974357,3,0.04464017094017094,0.0014475541804758458,0.04323076923076923,0.04612307692307692,3,0.6766666666666667,0.11482305227319699,0.545,0.756,3,,,,,0,True
C0,label_flip,1.0,0.012517094017094018,0.018972324619517034,0.0,0.034346153846153846,3,0.007754700854700855,0.0016689812987264344,0.005912820512820513,0.009166666666666667,3,0.7615,0.011357816691600494,0.7485,0.7695,3,,,,,0,True
C0,minmax,0.1,0.310282905982906,0.06966585252552861,0.24365128205128203,0.3826307692307692,3,0.2451162393162393,0.10350174090502234,0.18407692307692305,0.36462051282051283,3,0.09700000000000002,0.006928203230275515,0.089,0.101,3,,,,,0,True
C0,minmax,0.25,0.5748222222222222,0.1123586099402314,0.45093589743589746,0.6701358974358974,3,0.18313760683760683,0.044242000085369125,0.1544871794871795,0.23409230769230768,3,0.10516666666666667,0.0040414518843273775,0.1015,0.1095,3,,,,,0,True
C0,minmax,0.5,0.9849897435897436,0.0033509553918445872,0.981774358974359,0.9884615384615384,3,0.10854957264957266,0.0088522986214424,0.10053076923076923,0.11804871794871796,3,0.7348333333333333,0.015118972628235462,0.7235,0.752,3,,,,,0,True
C0,minmax,1.0,0.9245991452991453,0.013432357708840036,0.9117128205128205,0.9385179487179488,3,0.033586324786324784,0.018143268020029794,0.019882051282051283,0.054161538461538455,3,0.24,0.11907875545201169,0.1025,0.309,3,,,,,0,True
C0,on_off,0.1,0.4849564102564103,0.01714794482829704,0.47314871794871793,0.504625641025641,3,0.3282350427350427,0.01824381161609564,0.3161,0.34921538461538465,3,0.5871666666666667,0.06279795644233443,0.533,0.656,3,,,,,0,True
C0,on_off,0.25,0.280434188034188,0.009369165274683485,0.2738102564102564,0.29115384615384615,3,0.08765470085470085,0.00398495224571306,0.0830923076923077,0.09045384615384615,3,0.7331666666666666,0.00721687836487036,0.729,0.7415,3,,,,,0,True
C0,on_off,0.5,0.2833299145299146,0.005471158815633734,0.2771128205128205,0.2874102564102564,3,0.04662051282051282,0.004529261281716246,0.04388974358974359,0.05184871794871795,3,0.7681666666666667,0.010202123961868596,0.757,0.777,3,,,,,0,True
C0,on_off,1.0,0.20512820512820515,3.3993498887762956e-17,0.20512820512820512,0.20512820512820512,3,0.008252136752136752,0.002506405119456121,0.005866666666666667,0.010864102564102564,3,0.7996666666666666,0.017031832941093943,0.78,0.8095,3,,,,,0,True
