comparison,attack,alpha,delta_DR_mean,delta_DR_std,delta_FPR_mean,delta_FPR_std,delta_acc_mean,delta_acc_std,delta_ASR_mean,delta_ASR_std,flag_DR,flag_FPR,flag_acc
C1−C0,gaussian_noise,0.1,0.0000,0.0000,-0.5355,3.4696,0.5208,3.0364,,,OK_bỏ_được,NHIỄU,NHIỄU
C1−C0,gaussian_noise,0.25,0.0000,0.0000,0.8078,1.1101,1.2500,1.7837,,,OK_bỏ_được,NHIỄU,NHIỄU
C1−C0,gaussian_noise,0.5,0.0000,0.0000,-0.3654,0.8617,1.2833,3.4557,,,OK_bỏ_được,NHIỄU,NHIỄU
C1−C0,gaussian_noise,1.0,0.0000,0.0000,0.0000,0.0000,-3.0167,2.2008,,,OK_bỏ_được,OK_bỏ_được,NHIỄU
C1−C0,sign_flip,0.1,0.0000,0.0000,0.3167,4.5355,1.2333,5.4227,,,OK_bỏ_được,NHIỄU,NHIỄU
C1−C0,sign_flip,0.25,0.0000,0.0000,1.3547,1.2251,3.1000,1.8358,,,OK_bỏ_được,NHIỄU,NHIỄU
C1−C0,sign_flip,0.5,0.0000,0.0000,-0.6020,0.7645,0.2167,2.0559,,,OK_bỏ_được,NHIỄU,NHIỄU
C1−C0,sign_flip,1.0,0.0000,0.0000,0.0000,0.0000,0.8500,0.8670,,,OK_bỏ_được,OK_bỏ_được,NHIỄU
C1−C0,label_flip,0.1,1.7233,1.6830,-2.4291,5.1232,2.1167,8.1562,,,NHIỄU,NHIỄU,NHIỄU
C1−C0,label_flip,0.25,-3.9312,1.4849,-0.8644,0.5857,-1.5333,4.0264,,,CẢNH_BÁO,NHIỄU,NHIỄU
C1−C0,label_flip,0.5,1.4219,5.7271,1.7840,0.4607,2.8667,11.7134,,,NHIỄU,OK_bỏ_được,NHIỄU
C1−C0,label_flip,1.0,1.0032,3.2645,0.1676,0.4902,-11.4500,11.1651,,,NHIỄU,NHIỄU,NHIỄU
C1−C0,alie,0.1,2.9913,3.9805,-2.1015,2.8832,2.6833,9.2519,,,NHIỄU,NHIỄU,NHIỄU
C1−C0,alie,0.25,-4.5772,2.4753,-1.1700,0.4700,-20.7333,33.2284,,,NHIỄU,OK_bỏ_được,NHIỄU
C1−C0,alie,0.5,2.0103,3.2022,0.1850,1.9015,-0.3833,3.2478,,,NHIỄU,NHIỄU,NHIỄU
C1−C0,alie,1.0,-0.0050,0.3070,0.1702,0.4351,6.3667,8.9441,,,OK_bỏ_được,NHIỄU,NHIỄU
C1−C0,on_off,0.1,-4.6288,3.6087,3.4185,3.0736,1.6667,6.9885,,,NHIỄU,NHIỄU,NHIỄU
C1−C0,on_off,0.25,-0.4981,1.7615,1.6310,0.7501,0.2500,2.1010,,,NHIỄU,OK_bỏ_được,NHIỄU
C1−C0,on_off,0.5,-0.3370,0.7889,0.6315,0.6437,0.0500,1.9220,,,NHIỄU,NHIỄU,OK_bỏ_được
C1−C0,on_off,1.0,0.0000,0.0000,-0.0267,0.2863,-0.2000,1.9083,,,OK_bỏ_được,OK_bỏ_được,NHIỄU
C1−C0,minmax,0.1,8.5609,8.5649,4.7224,11.2854,-0.1167,0.9518,,,NHIỄU,NHIỄU,NHIỄU
C1−C0,minmax,0.25,-5.7600,31.8196,-2.1515,7.0977,0.4667,2.1793,,,NHIỄU,NHIỄU,NHIỄU
