config,attack,alpha,seed,avg_DR,avg_FPR,final_acc,avg_ASR,n_rounds,warmup_ok,timestamp
C2,gaussian_noise,0.1,42,1.0,0.24968789928252005,0.625,,40,True,2026-06-30T03:17:23.573934
C2,gaussian_noise,0.1,123,1.0,0.2816921593198683,0.634,,40,True,2026-06-30T03:47:17.768476
C2,gaussian_noise,0.1,777,1.0,0.29502536743442315,0.5765,,40,True,2026-06-30T04:17:18.185971
C2,gaussian_noise,1.0,42,1.0,0.0,0.7945,,40,True,2026-06-30T04:46:43.175572
C2,gaussian_noise,1.0,123,1.0,0.0,0.7795,,40,True,2026-06-30T05:16:21.057480
C2,gaussian_noise,1.0,777,1.0,0.0,0.7875,,40,True,2026-06-30T05:45:28.844801
C2,sign_flip,0.1,42,1.0,0.34077738889077897,0.654,,40,True,2026-06-30T06:14:46.965562
C2,sign_flip,0.1,123,1.0,0.2615572596608907,0.6265,,40,True,2026-06-30T06:44:06.562386
C2,sign_flip,0.1,777,1.0,0.29989532655167334,0.651,,40,True,2026-06-30T07:13:31.937063
C2,sign_flip,1.0,42,1.0,0.0,0.7815,,40,True,2026-06-30T07:42:26.150325
C2,sign_flip,1.0,123,1.0,0.0,0.7955,,40,True,2026-06-30T08:11:56.809749
C2,sign_flip,1.0,777,1.0,0.0,0.775,,40,True,2026-06-30T08:41:08.167500
C2,label_flip,0.1,42,0.4272619047619048,0.34541064671482624,0.5375,,40,True,2026-06-30T09:11:45.919348
C2,label_flip,0.1,123,0.32379960317460316,0.3230264540026537,0.621,,40,True,2026-06-30T09:42:28.735875
C2,label_flip,0.1,777,0.39532738095238096,0.3703656352892034,0.5935,,40,True,2026-06-30T10:13:16.522716
C2,label_flip,1.0,42,0.008571428571428572,0.011611519607843138,0.731,,40,True,2026-06-30T10:43:50.868487
C2,label_flip,1.0,123,0.006696428571428571,0.0059967320261437905,0.695,,40,True,2026-06-30T11:14:41.442314
C2,label_flip,1.0,777,0.025684523809523806,0.01600533195734434,0.7305,,40,True,2026-06-30T11:45:32.526471
C2,alie,0.1,42,0.3005654761904762,0.37394885805199274,0.465,,40,True,2026-06-30T12:16:53.033613
C2,alie,0.1,123,0.3915773809523809,0.36850715944272444,0.587,,40,True,2026-06-30T12:47:52.961391
C2,alie,0.1,777,0.3071626984126984,0.4023312263501892,0.1025,,40,True,2026-06-30T13:19:10.250295
C2,alie,1.0,42,0.0,0.004330065359477124,0.7365,,40,True,2026-06-30T13:50:15.574309
C2,alie,1.0,123,0.0,0.008736132610939112,0.6885,,40,True,2026-06-30T14:21:19.912240
C2,alie,1.0,777,0.0,0.007628676470588236,0.7245,,40,True,2026-06-30T14:52:38.112391
C2,on_off,0.1,42,0.45627976190476194,0.28920912882696936,0.666,,40,True,2026-06-30T15:23:30.019303
C2,on_off,0.1,123,0.4628075396825396,0.3447614286942847,0.678,,40,True,2026-06-30T15:54:08.229336
C2,on_off,0.1,777,0.47850198412698414,0.3417563363064524,0.616,,40,True,2026-06-30T16:24:58.162167
C2,on_off,1.0,42,0.2,0.012845609735122119,0.789,,40,True,2026-06-30T16:55:20.755645
C2,on_off,1.0,123,0.2,0.01042892156862745,0.801,,40,True,2026-06-30T17:25:41.353209
C2,on_off,1.0,777,0.2,0.012123000515995871,0.7895,,40,True,2026-06-30T17:56:28.691524
C2,minmax,0.1,42,0.20459686147186149,0.1568730319388214,0.103,,40,True,2026-06-30T18:27:58.913722
C2,minmax,0.1,123,0.5400396825396825,0.2968266714580569,0.091,,40,True,2026-06-30T18:58:35.614255
C2,minmax,0.1,777,0.631170634920635,0.44521989716939403,0.1025,,40,True,2026-06-30T19:28:54.442623
C2,minmax,1.0,42,0.9350090187590187,0.019356156936458792,0.522,,40,True,2026-06-30T19:59:34.836127
C2,minmax,1.0,123,0.923531746031746,0.02125408496732026,0.413,,40,True,2026-06-30T20:30:34.813583
C2,minmax,1.0,777,0.9110606060606061,0.026726912256130518,0.462,,40,True,2026-06-30T21:01:11.586438
C2,slow_poison,0.1,42,0.7871130952380953,0.3908619281045752,0.552,,40,True,2026-06-30T21:32:03.340556
C2,slow_poison,0.1,123,0.8184208152958152,0.4096043157478916,0.599,,40,True,2026-06-30T22:02:44.045463
C2,slow_poison,0.1,777,0.7728571428571429,0.43342509152783915,0.636,,40,True,2026-06-30T22:33:44.821674
