dataset,attack,alpha,round,n_accepted_mean,n_accepted_min,n_seeds
cifar-10,alie,0.1,11,18.0,17.0,3
cifar-10,alie,0.1,12,19.0,19.0,3
cifar-10,alie,0.1,13,14.666666666666666,13.0,3
cifar-10,alie,0.1,14,16.666666666666668,15.0,3
cifar-10,alie,0.1,15,15.333333333333334,13.0,3
cifar-10,alie,0.1,16,16.333333333333332,15.0,3
cifar-10,alie,0.1,17,15.0,15.0,3
cifar-10,alie,0.1,18,18.0,17.0,3
cifar-10,alie,0.1,19,17.333333333333332,16.0,3
cifar-10,alie,0.1,20,17.0,13.0,3
cifar-10,alie,0.1,21,16.333333333333332,16.0,3
cifar-10,alie,0.1,22,15.0,12.0,3
cifar-10,alie,0.1,23,15.0,14.0,3
cifar-10,alie,0.1,24,13.0,11.0,3
cifar-10,alie,0.1,25,18.0,18.0,3
cifar-10,alie,0.1,26,14.666666666666666,10.0,3
cifar-10,alie,0.1,27,13.666666666666666,13.0,3
cifar-10,alie,0.1,28,15.0,11.0,3
cifar-10,alie,0.1,29,15.333333333333334,13.0,3
cifar-10,alie,0.1,30,15.0,13.0,3
cifar-10,alie,0.1,31,15.333333333333334,14.0,3
cifar-10,alie,0.1,32,16.333333333333332,14.0,3
cifar-10,alie,0.1,33,14.0,9.0,3
cifar-10,alie,0.1,34,14.333333333333334,13.0,3
cifar-10,alie,0.1,35,15.333333333333334,12.0,3
cifar-10,alie,0.1,36,15.666666666666666,15.0,3
cifar-10,alie,0.1,37,14.0,12.0,3
cifar-10,alie,0.1,38,15.333333333333334,14.0,3
cifar-10,alie,0.1,39,14.333333333333334,11.0,3
cifar-10,alie,0.1,40,13.333333333333334,13.0,3
cifar-10,alie,0.1,41,14.666666666666666,12.0,3
cifar-10,alie,0.1,42,14.666666666666666,13.0,3
cifar-10,alie,0.1,43,16.0,16.0,3
cifar-10,alie,0.1,44,14.333333333333334,12.0,3
cifar-10,alie,0.1,45,14.333333333333334,13.0,3
cifar-10,alie,0.1,46,13.666666666666666,13.0,3
cifar-10,alie,0.1,47,12.666666666666666,10.0,3
cifar-10,alie,0.1,48,12.666666666666666,12.0,3
cifar-10,alie,0.1,49,11.666666666666666,11.0,3
cifar-10,alie,0.1,50,14.0,13.0,3
cifar-10,alie,0.25,11,22.666666666666668,21.0,3
cifar-10,alie,0.25,12,21.666666666666668,20.0,3
cifar-10,alie,0.25,13,23.0,22.0,3
cifar-10,alie,0.25,14,21.0,20.0,3
cifar-10,alie,0.25,15,20.666666666666668,20.0,3
cifar-10,alie,0.25,16,21.666666666666668,21.0,3
cifar-10,alie,0.25,17,21.666666666666668,21.0,3
cifar-10,alie,0.25,18,21.333333333333332,21.0,3
cifar-10,alie,0.25,19,22.333333333333332,21.0,3
cifar-10,alie,0.25,20,21.333333333333332,20.0,3
cifar-10,alie,0.25,21,21.666666666666668,21.0,3
cifar-10,alie,0.25,22,22.666666666666668,22.0,3
cifar-10,alie,0.25,23,21.0,19.0,3
cifar-10,alie,0.25,24,21.0,20.0,3
cifar-10,alie,0.25,25,22.333333333333332,21.0,3
cifar-10,alie,0.25,26,21.666666666666668,21.0,3
cifar-10,alie,0.25,27,21.0,21.0,3
cifar-10,alie,0.25,28,21.666666666666668,21.0,3
cifar-10,alie,0.25,29,21.333333333333332,20.0,3
cifar-10,alie,0.25,30,20.666666666666668,20.0,3
cifar-10,alie,0.25,31,20.333333333333332,20.0,3
cifar-10,alie,0.25,32,21.666666666666668,20.0,3
cifar-10,alie,0.25,33,20.333333333333332,19.0,3
cifar-10,alie,0.25,34,21.666666666666668,21.0,3
cifar-10,alie,0.25,35,22.0,21.0,3
cifar-10,alie,0.25,36,22.333333333333332,21.0,3
cifar-10,alie,0.25,37,20.333333333333332,19.0,3
cifar-10,alie,0.25,38,21.333333333333332,20.0,3
cifar-10,alie,0.25,39,22.0,22.0,3
cifar-10,alie,0.25,40,21.666666666666668,20.0,3
cifar-10,alie,0.25,41,20.333333333333332,20.0,3
cifar-10,alie,0.25,42,21.0,20.0,3
cifar-10,alie,0.25,43,21.333333333333332,21.0,3
cifar-10,alie,0.25,44,22.333333333333332,21.0,3
cifar-10,alie,0.25,45,21.0,20.0,3
cifar-10,alie,0.25,46,22.0,20.0,3
cifar-10,alie,0.25,47,21.666666666666668,21.0,3
cifar-10,alie,0.25,48,21.333333333333332,21.0,3
cifar-10,alie,0.25,49,20.0,19.0,3
cifar-10,alie,0.25,50,21.333333333333332,19.0,3
cifar-10,alie,0.5,11,21.333333333333332,20.0,3
cifar-10,alie,0.5,12,21.333333333333332,20.0,3
cifar-10,alie,0.5,13,20.0,19.0,3
