dataset,has_attack,round,cos_median,cos_mean,n
cifar-10,False,11,0.976,0.9641180555555555,144
cifar-10,False,12,0.9775,0.9640347222222222,144
cifar-10,False,13,0.978,0.9659791666666666,144
cifar-10,False,14,0.975,0.9632569444444444,144
cifar-10,False,15,0.9724999999999999,0.9630416666666667,144
cifar-10,False,16,0.974,0.957763888888889,144
cifar-10,False,17,0.97,0.960298611111111,144
cifar-10,False,18,0.97,0.9593958333333332,144
cifar-10,False,19,0.9675,0.9563541666666667,144
cifar-10,False,20,0.971,0.9598402777777777,144
cifar-10,False,21,0.968,0.9578888888888889,144
cifar-10,False,22,0.967,0.9592430555555556,144
cifar-10,False,23,0.968,0.9560069444444443,144
cifar-10,False,24,0.967,0.9554652777777777,144
cifar-10,False,25,0.9695,0.9552708333333333,144
cifar-10,False,26,0.967,0.9539861111111111,144
cifar-10,False,27,0.97,0.9563541666666667,144
cifar-10,False,28,0.968,0.9576527777777777,144
cifar-10,False,29,0.9655,0.9535694444444444,144
cifar-10,False,30,0.9664999999999999,0.9536805555555554,144
cifar-10,False,31,0.969,0.958375,144
cifar-10,False,32,0.9695,0.9546805555555555,144
cifar-10,False,33,0.967,0.9530138888888889,144
cifar-10,False,34,0.9695,0.9546944444444444,144
cifar-10,False,35,0.971,0.9575625000000001,144
cifar-10,False,36,0.9704999999999999,0.9573819444444445,144
cifar-10,False,37,0.9684999999999999,0.9549583333333334,144
cifar-10,False,38,0.97,0.9589236111111111,144
cifar-10,False,39,0.972,0.9569791666666667,144
cifar-10,False,40,0.971,0.9573402777777777,144
cifar-10,False,41,0.972,0.9607222222222221,144
cifar-10,False,42,0.972,0.9610347222222223,144
cifar-10,False,43,0.971,0.96025,144
cifar-10,False,44,0.9724999999999999,0.9588819444444445,144
cifar-10,False,45,0.9715,0.9592916666666667,144
cifar-10,False,46,0.973,0.9567569444444444,144
cifar-10,False,47,0.972,0.9592152777777778,144
cifar-10,False,48,0.973,0.9586041666666666,144
cifar-10,False,49,0.973,0.9591319444444445,144
cifar-10,False,50,0.9744999999999999,0.9619444444444445,144
cifar-10,True,11,0.975,0.9397133757961784,1413
cifar-10,True,12,0.974,0.9382292993630573,1413
cifar-10,True,13,0.972,0.93614375,1440
cifar-10,True,14,0.972,0.9382673338098642,1399
cifar-10,True,15,0.969,0.9325849999999999,1400
cifar-10,True,16,0.968,0.9322532005689901,1406
cifar-10,True,17,0.97,0.9332751060820368,1414
cifar-10,True,18,0.967,0.9316192498230714,1413
cifar-10,True,19,0.968,0.9323959778085991,1442
cifar-10,True,20,0.965,0.9301050035236081,1419
cifar-10,True,21,0.965,0.9299971611071682,1409
cifar-10,True,22,0.965,0.9280175561797753,1424
cifar-10,True,23,0.965,0.9301964539007093,1410
cifar-10,True,24,0.965,0.9289515108924806,1423
cifar-10,True,25,0.961,0.9292883008356546,1436
cifar-10,True,26,0.962,0.9276581560283689,1410
cifar-10,True,27,0.964,0.9271478873239436,1420
cifar-10,True,28,0.962,0.9267209631728045,1412
cifar-10,True,29,0.962,0.927143560872625,1421
cifar-10,True,30,0.963,0.9271455563331001,1429
cifar-10,True,31,0.96,0.9262344296710986,1429
cifar-10,True,32,0.9615,0.9268631205673759,1410
cifar-10,True,33,0.963,0.9289022127052106,1401
cifar-10,True,34,0.961,0.9275198054204309,1439
cifar-10,True,35,0.963,0.9320120910384068,1406
cifar-10,True,36,0.9635,0.9319956834532374,1390
cifar-10,True,37,0.9615,0.9281289173789175,1404
cifar-10,True,38,0.962,0.9311297764960347,1387
cifar-10,True,39,0.964,0.9321467889908257,1417
cifar-10,True,40,0.961,0.9300387870239775,1418
cifar-10,True,41,0.964,0.9301496005809732,1377
cifar-10,True,42,0.965,0.9307962184873949,1428
cifar-10,True,43,0.965,0.9332363765038925,1413
cifar-10,True,44,0.963,0.9309759377211607,1413
cifar-10,True,45,0.965,0.93075317348378,1418
