dataset,attack,alpha,round,n_seeds,L1_DR,L1_FPR,L2_DR,L2_FPR,Final_DR,Final_FPR
cifar-10,alie,0.1,11,3,0.047619047619047616,0.0196078431372549,0.2857142857142857,0.23529411764705882,0.2857142857142857,0.23529411764705882
cifar-10,alie,0.1,12,3,0.0,0.0,0.09523809523809523,0.2549019607843137,0.09523809523809523,0.2549019607843137
cifar-10,alie,0.1,13,3,0.045454545454545456,0.06,0.3181818181818182,0.42,0.3181818181818182,0.42
cifar-10,alie,0.1,14,3,0.0,0.0,0.17391304347826086,0.3673469387755102,0.17391304347826086,0.3673469387755102
cifar-10,alie,0.1,15,3,0.0,0.02,0.36363636363636365,0.36,0.36363636363636365,0.36
cifar-10,alie,0.1,16,3,0.05555555555555555,0.037037037037037035,0.3333333333333333,0.3148148148148148,0.3333333333333333,0.3148148148148148
cifar-10,alie,0.1,17,3,0.0,0.018518518518518517,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.3888888888888889
cifar-10,alie,0.1,18,3,0.05,0.0,0.2,0.2692307692307692,0.2,0.2692307692307692
cifar-10,alie,0.1,19,3,0.05263157894736842,0.0,0.3157894736842105,0.2641509433962264,0.3157894736842105,0.2641509433962264
cifar-10,alie,0.1,20,3,0.0,0.0196078431372549,0.2857142857142857,0.29411764705882354,0.2857142857142857,0.29411764705882354
cifar-10,alie,0.1,21,3,0.0,0.0,0.36,0.2978723404255319,0.36,0.2978723404255319
cifar-10,alie,0.1,22,3,0.0,0.02,0.4090909090909091,0.36,0.4090909090909091,0.36
cifar-10,alie,0.1,23,3,0.0,0.0,0.2727272727272727,0.42,0.2727272727272727,0.42
cifar-10,alie,0.1,24,3,0.0,0.05454545454545454,0.4117647058823529,0.4727272727272727,0.4117647058823529,0.4727272727272727
cifar-10,alie,0.1,25,3,0.0,0.0,0.15,0.28846153846153844,0.15,0.28846153846153844
cifar-10,alie,0.1,26,3,0.08695652173913043,0.061224489795918366,0.30434782608695654,0.42857142857142855,0.30434782608695654,0.42857142857142855
cifar-10,alie,0.1,27,3,0.0,0.04,0.45454545454545453,0.42,0.45454545454545453,0.42
cifar-10,alie,0.1,28,3,0.0,0.03571428571428571,0.3125,0.39285714285714285,0.3125,0.39285714285714285
cifar-10,alie,0.1,29,3,0.0,0.019230769230769232,0.3,0.38461538461538464,0.3,0.38461538461538464
cifar-10,alie,0.1,30,3,0.05,0.038461538461538464,0.35,0.38461538461538464,0.35,0.38461538461538464
cifar-10,alie,0.1,31,3,0.0,0.017857142857142856,0.375,0.35714285714285715,0.375,0.35714285714285715
cifar-10,alie,0.1,32,3,0.0,0.0,0.25,0.34615384615384615,0.25,0.34615384615384615
cifar-10,alie,0.1,33,3,0.0,0.03636363636363636,0.35294117647058826,0.43636363636363634,0.35294117647058826,0.43636363636363634
cifar-10,alie,0.1,34,3,0.05263157894736842,0.018867924528301886,0.42105263157894735,0.39622641509433965,0.42105263157894735,0.39622641509433965
cifar-10,alie,0.1,35,3,0.0,0.0,0.375,0.3541666666666667,0.375,0.3541666666666667
cifar-10,alie,0.1,36,3,0.0,0.0,0.375,0.3333333333333333,0.375,0.3333333333333333
cifar-10,alie,0.1,37,3,0.0,0.0,0.42857142857142855,0.4117647058823529,0.42857142857142855,0.4117647058823529
cifar-10,alie,0.1,38,3,0.0,0.019230769230769232,0.4,0.34615384615384615,0.4,0.34615384615384615
cifar-10,alie,0.1,39,3,0.0,0.0,0.35,0.4230769230769231,0.35,0.4230769230769231
cifar-10,alie,0.1,40,3,0.0,0.01818181818181818,0.35294117647058826,0.4727272727272727,0.35294117647058826,0.4727272727272727
cifar-10,alie,0.1,41,3,0.041666666666666664,0.0,0.375,0.3958333333333333,0.375,0.3958333333333333
cifar-10,alie,0.1,42,3,0.0,0.02127659574468085,0.36,0.40425531914893614,0.36,0.40425531914893614
cifar-10,alie,0.1,43,3,0.043478260869565216,0.02040816326530612,0.2608695652173913,0.3673469387755102,0.2608695652173913,0.3673469387755102
cifar-10,alie,0.1,44,3,0.0,0.0196078431372549,0.38095238095238093,0.4117647058823529,0.38095238095238093,0.4117647058823529
cifar-10,alie,0.1,45,3,0.0,0.0,0.42857142857142855,0.39215686274509803,0.42857142857142855,0.39215686274509803
cifar-10,alie,0.1,46,3,0.0,0.0,0.47619047619047616,0.4117647058823529,0.47619047619047616,0.4117647058823529
cifar-10,alie,0.1,47,3,0.043478260869565216,0.0,0.391304347826087,0.5102040816326531,0.391304347826087,0.5102040816326531
