dataset,attack,alpha,round,l1_median_mean,l1_mad_mean,l1_thr_reject_mean,l2_thr_distance_mean,n_seeds
cifar-10,alie,0.1,11,91.8704,51.316,297.1342666666667,161.97333333333333,3
cifar-10,alie,0.1,12,145.4478,67.05573333333332,413.6707333333334,218.36666666666667,3
cifar-10,alie,0.1,13,107.23453333333333,56.19253333333333,332.00466666666665,177.6966666666667,3
cifar-10,alie,0.1,14,128.20926666666665,62.48956666666667,378.1675,196.28,3
cifar-10,alie,0.1,15,121.99476666666665,61.68163333333333,368.7212666666667,195.93666666666664,3
cifar-10,alie,0.1,16,104.42973333333333,58.0822,336.75849999999997,175.46333333333334,3
cifar-10,alie,0.1,17,111.25763333333333,64.74310000000001,370.2300666666667,194.65333333333334,3
cifar-10,alie,0.1,18,127.92883333333334,71.43239999999999,413.65840000000003,212.57666666666668,3
cifar-10,alie,0.1,19,118.67079999999999,62.79526666666666,369.85179999999997,204.01333333333332,3
cifar-10,alie,0.1,20,118.06423333333333,57.23760000000001,347.0147666666667,188.65666666666667,3
cifar-10,alie,0.1,21,127.81983333333334,63.421933333333335,381.5074666666667,203.66666666666666,3
cifar-10,alie,0.1,22,119.46589999999999,66.05923333333334,383.7029,203.64000000000001,3
cifar-10,alie,0.1,23,119.6443,65.59396666666667,382.02013333333326,212.97333333333333,3
cifar-10,alie,0.1,24,102.4714,47.93396666666666,294.20733333333334,176.02,3
cifar-10,alie,0.1,25,141.63276666666667,65.7257,404.53549999999996,214.71333333333334,3
cifar-10,alie,0.1,26,119.0279,61.24756666666667,364.01826666666665,195.80666666666664,3
cifar-10,alie,0.1,27,108.08999999999999,51.51813333333334,314.16243333333335,175.42999999999998,3
cifar-10,alie,0.1,28,107.88226666666667,58.6131,342.33470000000005,180.88666666666666,3
cifar-10,alie,0.1,29,128.55143333333334,56.77093333333334,355.63523333333336,210.15333333333334,3
cifar-10,alie,0.1,30,120.42970000000001,59.664233333333335,359.08663333333334,191.10666666666665,3
cifar-10,alie,0.1,31,116.35366666666668,63.44083333333333,370.1169333333333,191.35666666666668,3
cifar-10,alie,0.1,32,137.85909999999998,62.302233333333334,387.06809999999996,203.77333333333334,3
cifar-10,alie,0.1,33,113.26223333333333,58.65416666666667,347.87896666666666,193.8033333333333,3
cifar-10,alie,0.1,34,122.03503333333333,59.46360000000001,359.8894666666667,203.29999999999998,3
cifar-10,alie,0.1,35,133.91673333333333,63.434599999999996,387.6551,191.37666666666667,3
cifar-10,alie,0.1,36,144.8406,78.92806666666667,460.55283333333335,247.37333333333333,3
cifar-10,alie,0.1,37,115.74770000000001,56.094766666666665,340.1267666666667,196.84666666666666,3
cifar-10,alie,0.1,38,127.77453333333334,58.028600000000004,359.8888666666667,198.09,3
cifar-10,alie,0.1,39,115.08726666666666,62.81073333333333,366.33009999999996,178.33666666666667,3
cifar-10,alie,0.1,40,123.88896666666666,60.68656666666667,366.63526666666667,194.28666666666666,3
cifar-10,alie,0.1,41,122.68593333333335,62.5173,372.75516666666664,185.01999999999998,3
cifar-10,alie,0.1,42,119.07026666666667,57.8381,350.4227,194.98666666666668,3
cifar-10,alie,0.1,43,139.18210000000002,63.929066666666664,394.89843333333334,217.12,3
cifar-10,alie,0.1,44,119.5231,62.3388,368.8784333333333,190.57666666666668,3
cifar-10,alie,0.1,45,132.46866666666668,65.58926666666666,394.82573333333335,209.32333333333335,3
cifar-10,alie,0.1,46,130.92373333333333,66.64693333333334,397.51146666666665,207.98333333333335,3
cifar-10,alie,0.1,47,111.51586666666667,64.9819,371.4434666666666,181.42,3
cifar-10,alie,0.1,48,108.09230000000001,50.3307,309.4150333333333,178.35666666666665,3
cifar-10,alie,0.1,49,107.89596666666667,60.13463333333334,348.43460000000005,178.92666666666665,3
cifar-10,alie,0.1,50,129.62796666666668,64.32806666666666,386.9401666666667,225.63333333333333,3
cifar-10,alie,0.25,11,127.8138,27.632433333333335,238.34353333333334,113.94333333333334,3
cifar-10,alie,0.25,12,130.36656666666667,26.906000000000002,237.9905,107.14666666666666,3
cifar-10,alie,0.25,13,129.19556666666668,29.248433333333335,246.18933333333334,122.55333333333333,3
cifar-10,alie,0.25,14,129.4109,29.081533333333336,245.73706666666666,125.21666666666665,3
cifar-10,alie,0.25,15,133.42316666666667,24.22453333333333,230.32129999999998,113.42999999999999,3
cifar-10,alie,0.25,16,127.35053333333333,31.11463333333333,251.80909999999997,118.37,3
cifar-10,alie,0.25,17,128.16686666666666,27.5562,238.39163333333332,118.87666666666667,3
cifar-10,alie,0.25,18,134.0811,29.504433333333335,252.09886666666668,114.22333333333334,3
cifar-10,alie,0.25,19,128.7127,31.32426666666667,254.0098,127.43666666666667,3
cifar-10,alie,0.25,20,128.95176666666666,30.999166666666667,252.94846666666663,133.60999999999999,3
cifar-10,alie,0.25,21,128.7185,33.85736666666667,264.14799999999997,126.39,3
cifar-10,alie,0.25,22,135.8811,29.728233333333332,254.79406666666668,122.92,3
cifar-10,alie,0.25,23,126.413,29.057666666666666,242.6436666666667,117.36,3
cifar-10,alie,0.25,24,129.9785,32.133433333333336,258.51230000000004,133.0666666666667,3
cifar-10,alie,0.25,25,131.5404,29.33796666666667,248.89229999999998,127.15666666666665,3
cifar-10,alie,0.25,26,137.95783333333335,32.88783333333333,269.5092333333333,131.14000000000001,3
cifar-10,alie,0.25,27,130.20236666666668,31.8569,257.62983333333335,136.14666666666668,3
cifar-10,alie,0.25,28,133.1281,29.659000000000002,251.7642,135.09666666666666,3
cifar-10,alie,0.25,29,128.40243333333333,32.6782,259.1152666666667,131.76,3
cifar-10,alie,0.25,30,126.6649,28.661366666666666,241.3104,129.9,3
cifar-10,alie,0.25,31,126.91536666666667,30.331400000000002,248.24099999999999,134.66,3
cifar-10,alie,0.25,32,129.68146666666667,24.75836666666667,228.71493333333333,125.88,3
cifar-10,alie,0.25,33,127.18806666666666,29.8233,246.48120000000003,138.45666666666668,3
cifar-10,alie,0.25,34,131.3324,33.57633333333333,265.6377333333333,139.64333333333332,3
cifar-10,alie,0.25,35,131.74266666666668,32.513933333333334,261.79833333333335,135.46333333333334,3
cifar-10,alie,0.25,36,135.07673333333332,31.031966666666666,259.2047,135.4466666666667,3
