dataset,alpha,alt_distance_multiplier,wrong_rescue_orig,wrong_rescue_alt,correct_rescue_orig,correct_rescue_alt,wrong_eliminated,correct_lost
cifar-10,0.1,1.0,18,0,79,0,18,79
cifar-10,0.25,1.0,195,0,77,0,195,77
cifar-10,0.5,1.0,21,0,712,14,21,698
cifar-10,1.0,1.0,4,0,248,5,4,243
fashion-mnist,0.1,1.0,43,0,51,0,43,51
fashion-mnist,0.25,1.0,50,0,37,1,50,36
fashion-mnist,0.5,1.0,1,0,126,1,1,125
fashion-mnist,1.0,1.0,52,0,179,0,52,179
cifar-10,0.1,1.25,18,0,79,1,18,78
cifar-10,0.25,1.25,195,0,77,4,195,73
cifar-10,0.5,1.25,21,0,712,189,21,523
cifar-10,1.0,1.25,4,0,248,23,4,225
fashion-mnist,0.1,1.25,43,0,51,0,43,51
fashion-mnist,0.25,1.25,50,0,37,1,50,36
fashion-mnist,0.5,1.25,1,0,126,8,1,118
fashion-mnist,1.0,1.25,52,0,179,0,52,179
cifar-10,0.1,1.5,18,0,79,2,18,77
cifar-10,0.25,1.5,195,2,77,24,193,53
cifar-10,0.5,1.5,21,2,712,534,19,178
cifar-10,1.0,1.5,4,4,248,77,0,171
fashion-mnist,0.1,1.5,43,0,51,2,43,49
fashion-mnist,0.25,1.5,50,0,37,6,50,31
fashion-mnist,0.5,1.5,1,0,126,18,1,108
fashion-mnist,1.0,1.5,52,0,179,7,52,172
cifar-10,0.1,1.75,18,0,79,6,18,73
cifar-10,0.25,1.75,195,22,77,52,173,25
cifar-10,0.5,1.75,21,5,712,683,16,29
cifar-10,1.0,1.75,4,4,248,188,0,60
fashion-mnist,0.1,1.75,43,0,51,2,43,49
fashion-mnist,0.25,1.75,50,4,37,12,46,25
fashion-mnist,0.5,1.75,1,0,126,35,1,91
fashion-mnist,1.0,1.75,52,2,179,24,50,155
cifar-10,0.1,2.0,18,5,79,18,13,61
cifar-10,0.25,2.0,195,65,77,66,130,11
cifar-10,0.5,2.0,21,15,712,710,6,2
cifar-10,1.0,2.0,4,4,248,248,0,0
fashion-mnist,0.1,2.0,43,6,51,11,37,40
fashion-mnist,0.25,2.0,50,8,37,17,42,20
fashion-mnist,0.5,2.0,1,0,126,66,1,60
fashion-mnist,1.0,2.0,52,5,179,53,47,126
cifar-10,0.1,2.25,18,11,79,37,7,42
cifar-10,0.25,2.25,195,146,77,71,49,6
cifar-10,0.5,2.25,21,21,712,710,0,2
cifar-10,1.0,2.25,4,4,248,248,0,0
fashion-mnist,0.1,2.25,43,20,51,24,23,27
fashion-mnist,0.25,2.25,50,23,37,24,27,13
fashion-mnist,0.5,2.25,1,1,126,97,0,29
fashion-mnist,1.0,2.25,52,17,179,92,35,87
cifar-10,0.1,2.5,18,18,79,79,0,0
cifar-10,0.25,2.5,195,195,77,77,0,0
cifar-10,0.5,2.5,21,21,712,712,0,0
cifar-10,1.0,2.5,4,4,248,248,0,0
fashion-mnist,0.1,2.5,43,43,51,51,0,0
fashion-mnist,0.25,2.5,50,50,37,37,0,0
fashion-mnist,0.5,2.5,1,1,126,126,0,0
fashion-mnist,1.0,2.5,52,52,179,179,0,0
