dataset,attack,alpha,seed,collapse_round,round,offset,DR,FPR,n_accepted_true,n_attacker_leaked_proxy,l1_mad,l2_thr_distance,hypothesis
cifar-10,minmax,0.1,42,31,28,-3,0.25,0.1875,19.0,6,115.1515,623.53,H1_SOT
cifar-10,minmax,0.1,42,31,29,-2,0.0,0.0,24.0,7,102.3774,672.26,H1_SOT
cifar-10,minmax,0.1,42,31,30,-1,0.3333333333333333,0.05555555555555555,21.0,4,56.1833,422.72,H1_SOT
cifar-10,minmax,0.1,42,31,31,0,0.0,0.0,24.0,4,56.0959,436.48,H1_SOT
cifar-10,minmax,0.1,123,31,28,-3,0.875,0.25,13.0,1,50.726,411.7,KHONG_RO
cifar-10,minmax,0.1,123,31,29,-2,0.875,0.6875,6.0,1,55.3983,317.76,H2_DOI
cifar-10,minmax,0.1,123,31,30,-1,1.0,0.4,9.0,0,47.463,327.25,KHONG_RO
cifar-10,minmax,0.1,123,31,31,0,0.8888888888888888,0.5333333333333333,8.0,1,71.4249,298.55,H2_DOI
cifar-10,minmax,0.1,777,31,28,-3,0.0,0.29411764705882354,19.0,7,249.9727,1804.21,H1_SOT
cifar-10,minmax,0.1,777,31,29,-2,0.0,0.15789473684210525,21.0,5,156.008,1606.04,H1_SOT
cifar-10,minmax,0.1,777,31,30,-1,0.3333333333333333,0.5,13.0,4,138.6631,1085.96,H1_SOT
cifar-10,minmax,0.1,777,31,31,0,0.16666666666666666,0.1111111111111111,21.0,5,161.0303,1202.08,H1_SOT
cifar-10,minmax,0.25,42,31,28,-3,0.4444444444444444,0.3333333333333333,15.0,5,23.9556,216.09,H1_SOT
cifar-10,minmax,0.25,42,31,29,-2,0.8,0.15789473684210525,17.0,1,21.6409,160.0,KHONG_RO
cifar-10,minmax,0.25,42,31,30,-1,0.5,0.375,14.0,4,20.4389,225.48,H1_SOT
cifar-10,minmax,0.25,42,31,31,0,0.75,0.25,16.0,1,25.7295,204.93,KHONG_RO
