dataset,attack,alpha,seed,collapse_round,final_acc,seed_collapsed
cifar-10,minmax,0.1,42,31.0,0.089,True
cifar-10,minmax,0.1,123,31.0,0.0975,True
cifar-10,minmax,0.1,777,31.0,0.0965,True
cifar-10,minmax,0.25,42,31.0,0.0955,True
cifar-10,minmax,0.25,123,31.0,0.098,True
cifar-10,minmax,0.25,777,31.0,0.1255,True
cifar-10,minmax,1.0,42,31.0,0.4835,False
cifar-10,minmax,1.0,123,23.0,0.6685,False
cifar-10,minmax,1.0,777,16.0,0.131,True
fashion-mnist,alie,0.1,42,19.0,0.0925,True
fashion-mnist,alie,0.1,123,25.0,0.769,False
fashion-mnist,alie,0.1,777,14.0,0.093,True
fashion-mnist,alie,0.25,42,,0.896,False
fashion-mnist,alie,0.25,123,30.0,0.898,False
fashion-mnist,alie,0.25,777,17.0,0.09,True
fashion-mnist,alie,0.5,42,12.0,0.087,True
fashion-mnist,alie,0.5,123,14.0,0.0925,True
fashion-mnist,alie,0.5,777,19.0,0.0985,True
fashion-mnist,minmax,0.1,42,13.0,0.1,True
fashion-mnist,minmax,0.1,123,13.0,0.102,True
fashion-mnist,minmax,0.1,777,15.0,0.1015,True
fashion-mnist,minmax,0.25,42,12.0,0.1105,True
fashion-mnist,minmax,0.25,123,13.0,0.0885,True
fashion-mnist,minmax,0.25,777,13.0,0.1,True
fashion-mnist,minmax,0.5,42,19.0,0.0695,True
fashion-mnist,minmax,0.5,123,29.0,0.9035,False
fashion-mnist,minmax,0.5,777,42.0,0.9005,False
