attack,alpha,module,DR_cifar,DR_fashion,delta_DR,FPR_cifar,FPR_fashion,delta_FPR
alie,0.1,Final,0.34386286147041245,0.07730086005948077,0.26656200141093167,0.38045281882270937,0.09980217606330366,0.2806506427594057
alie,0.1,L1,0.018144693418851315,0.011542480507997749,0.006602212910853566,0.018036312076305714,0.06752291952699412,0.049486607450688405
alie,0.1,L2,0.34386286147041245,0.07730086005948077,0.26656200141093167,0.38045281882270937,0.09980217606330366,0.2806506427594057
alie,0.25,Final,0.14176221397624053,0.11005668169741839,0.03170553227882214,0.09038581211183683,0.06956837996544947,0.020817432146387357
alie,0.25,L1,0.021843893340173007,0.013756213457309282,0.008087679882863725,0.03422635348859959,0.06907746194875826,0.03485110846015867
alie,0.25,L2,0.14176221397624053,0.11005668169741839,0.03170553227882214,0.09038581211183683,0.06956837996544947,0.020817432146387357
alie,0.5,Final,0.1932048430936496,0.001092896174863388,0.19211194691878622,0.06296231876369318,0.014011297299481426,0.04895102146421176
alie,0.5,L1,0.08724569640062597,0.0,0.08724569640062597,0.03364546472135329,0.010992329038247789,0.0226531356831055
alie,0.5,L2,0.1932048430936496,0.001092896174863388,0.19211194691878622,0.06296231876369318,0.014011297299481426,0.04895102146421176
alie,1.0,Final,0.0,0.04452971866712787,0.04452971866712787,0.005491201842883445,0.024451660306923462,0.018960458464040018
alie,1.0,L1,0.0,0.027424029875603727,0.027424029875603727,0.005491201842883445,0.010974555382450119,0.005483353539566674
alie,1.0,L2,0.0,0.04452971866712787,0.04452971866712787,0.005491201842883445,0.024451660306923462,0.018960458464040018
gaussian_noise,0.1,Final,1.0,1.0,0.0,0.28551729393162734,0.0235465407839649,0.26197075314766244
gaussian_noise,0.1,L1,0.8558983042528651,0.5388665998656057,0.31703170438725936,0.0004967709885742673,0.002449809211652963,0.0019530382230786955
gaussian_noise,0.1,L2,1.0,1.0,0.0,0.28551729393162734,0.0235465407839649,0.26197075314766244
gaussian_noise,0.25,Final,1.0,1.0,0.0,0.08831752702198203,0.06699053124358874,0.021326995778393296
gaussian_noise,0.25,L1,1.0,0.9655871738366709,0.03441282616332908,0.010355552743097357,0.010902729927761359,0.0005471771846640022
gaussian_noise,0.25,L2,1.0,1.0,0.0,0.08831752702198203,0.06699053124358874,0.021326995778393296
gaussian_noise,0.5,Final,1.0,1.0,0.0,0.02043318460955203,0.0,0.02043318460955203
gaussian_noise,0.5,L1,1.0,1.0,0.0,0.0,0.0,0.0
gaussian_noise,0.5,L2,1.0,1.0,0.0,0.02043318460955203,0.0,0.02043318460955203
gaussian_noise,1.0,Final,1.0,1.0,0.0,0.0,0.01055709755706753,0.01055709755706753
gaussian_noise,1.0,L1,1.0,1.0,0.0,0.0,0.0,0.0
gaussian_noise,1.0,L2,1.0,1.0,0.0,0.0,0.01055709755706753,0.01055709755706753
label_flip,0.1,Final,0.38367405772306523,0.3971645165594298,0.013490458836364572,0.3508484081748479,0.11332267559971008,0.23752573257513782
label_flip,0.1,L1,0.013880945008233003,0.016911752621132713,0.00303080761289971,0.014369476314015925,0.08224243737568328,0.06787296106166735
label_flip,0.1,L2,0.38367405772306523,0.3971645165594298,0.013490458836364572,0.3508484081748479,0.11332267559971008,0.23752573257513782
label_flip,0.25,Final,0.24799093532908165,0.14806045640211127,0.09993047892697038,0.09238713910140377,0.077175333307215,0.015211805794188765
label_flip,0.25,L1,0.030995912363556827,0.01584165922739884,0.015154253136157987,0.04074724399992743,0.07616828396179709,0.03542103996186966
label_flip,0.25,L2,0.24799093532908165,0.14806045640211127,0.09993047892697038,0.09238713910140377,0.077175333307215,0.015211805794188765
label_flip,0.5,Final,0.3102782160589436,0.40479222734845566,0.09451401128951203,0.04707676282263934,0.003472961464764743,0.043603801357874596
label_flip,0.5,L1,0.0843604794233024,0.003472222222222222,0.08088825720108017,0.03678973072857177,0.0029769297187329977,0.03381280100983877
label_flip,0.5,L2,0.3102782160589436,0.40479222734845566,0.09451401128951203,0.04707676282263934,0.003472961464764743,0.043603801357874596
label_flip,1.0,Final,0.006882977866276861,0.8268445176156997,0.8199615397494228,0.011451144322722156,0.0014800551576991444,0.009971089165023012
label_flip,1.0,L1,0.0022636326316072177,0.07073738321517943,0.06847375058357222,0.011451144322722156,0.0,0.011451144322722156
label_flip,1.0,L2,0.006882977866276861,0.8268445176156997,0.8199615397494228,0.011451144322722156,0.0014800551576991444,0.009971089165023012
minmax,0.1,Final,0.39724433770525364,0.6563946078976549,0.2591502701924013,0.25453757699243545,0.1922344285677787,0.06230314842465676
minmax,0.1,L1,0.0023148148148148147,0.005923379162996103,0.0036085643481812884,0.009922307760079137,0.08204830433772543,0.07212599657764629
minmax,0.1,L2,0.39724433770525364,0.6563946078976549,0.2591502701924013,0.25453757699243545,0.1922344285677787,0.06230314842465676
minmax,0.25,Final,0.6963955342902711,0.43427951614970256,0.26211601814056856,0.15877444354329998,0.11907632671474065,0.039698116828559324
minmax,0.25,L1,0.02251993620414673,0.003579962450930193,0.01893997375321654,0.04366946021447238,0.060005347250301565,0.016335887035829187
minmax,0.25,L2,0.6963955342902711,0.43427951614970256,0.26211601814056856,0.15877444354329998,0.11907632671474065,0.039698116828559324
minmax,0.5,Final,0.977817046804719,0.4101162403410605,0.5677008064636586,0.08058586853269276,0.014874842899036449,0.0657110256336563
minmax,0.5,L1,0.05840133732058391,0.0,0.05840133732058391,0.04993734826152032,0.013897325792487083,0.036040022469033234
minmax,0.5,L2,0.977817046804719,0.4101162403410605,0.5677008064636586,0.08058586853269276,0.014874842899036449,0.0657110256336563
minmax,1.0,Final,0.9162974358029582,0.564301569097459,0.3519958667054992,0.015312279799216013,0.021738121940608406,0.006425842141392394
minmax,1.0,L1,0.0,0.005819669167028289,0.005819669167028289,0.012850142283801604,0.021738121940608406,0.008887979656806802
minmax,1.0,L2,0.9162974358029582,0.564301569097459,0.3519958667054992,0.015312279799216013,0.021738121940608406,0.006425842141392394
none,0.5,Final,,,,0.06597222222222222,0.012152777777777776,0.05381944444444445
none,0.5,L1,,,,0.04548611111111111,0.0038194444444444448,0.041666666666666664
none,0.5,L2,,,,0.06597222222222222,0.012152777777777776,0.05381944444444445
none,1.0,Final,,,,0.0024305555555555556,0.029861111111111113,0.027430555555555555
none,1.0,L1,,,,0.0024305555555555556,0.01875,0.016319444444444442
none,1.0,L2,,,,0.0024305555555555556,0.029861111111111113,0.027430555555555555
on_off,0.1,Final,0.46690043763072353,0.26589719634079456,0.20100324128992897,0.3511143772561347,0.10221277619750357,0.24890160105863113
on_off,0.1,L1,0.015277672003222905,0.008099075040620957,0.007178596962601948,0.013748160611069949,0.06993564160289205,0.0561874809918221
on_off,0.1,L2,0.46690043763072353,0.26589719634079456,0.20100324128992897,0.3511143772561347,0.10221277619750357,0.24890160105863113
