dataset,attack,alpha,module,n_seeds,DR_mean,DR_std,FPR_mean,FPR_std
cifar-10,alie,0.1,L1,3,0.018144693418851315,0.012608781521313022,0.018036312076305714,0.0006975999738955922
cifar-10,alie,0.1,L2,3,0.34386286147041245,0.008100743941729868,0.38045281882270937,0.02789763467817415
cifar-10,alie,0.1,Final,3,0.34386286147041245,0.008100743941729868,0.38045281882270937,0.02789763467817415
cifar-10,alie,0.25,L1,3,0.021843893340173007,0.006601727834476559,0.03422635348859959,0.002961848021456981
cifar-10,alie,0.25,L2,3,0.14176221397624053,0.03619200333266594,0.09038581211183683,0.013629112005247595
cifar-10,alie,0.25,Final,3,0.14176221397624053,0.03619200333266594,0.09038581211183683,0.013629112005247595
cifar-10,alie,0.5,L1,3,0.08724569640062597,0.008071954070899067,0.03364546472135329,0.0130536480224457
cifar-10,alie,0.5,L2,3,0.1932048430936496,0.016010888237044538,0.06296231876369318,0.013052255562979122
cifar-10,alie,0.5,Final,3,0.1932048430936496,0.016010888237044538,0.06296231876369318,0.013052255562979122
cifar-10,alie,1.0,L1,3,0.0,0.0,0.005491201842883445,0.003192393169866065
cifar-10,alie,1.0,L2,3,0.0,0.0,0.005491201842883445,0.003192393169866065
cifar-10,alie,1.0,Final,3,0.0,0.0,0.005491201842883445,0.003192393169866065
cifar-10,gaussian_noise,0.1,L1,3,0.8558983042528651,0.023531821537895736,0.0004967709885742673,0.0008604325919368492
cifar-10,gaussian_noise,0.1,L2,3,1.0,0.0,0.28551729393162734,0.031863703853762707
cifar-10,gaussian_noise,0.1,Final,3,1.0,0.0,0.28551729393162734,0.031863703853762707
cifar-10,gaussian_noise,0.25,L1,3,1.0,0.0,0.010355552743097357,0.005325385567871438
cifar-10,gaussian_noise,0.25,L2,3,1.0,0.0,0.08831752702198203,0.0159021386962408
cifar-10,gaussian_noise,0.25,Final,3,1.0,0.0,0.08831752702198203,0.0159021386962408
cifar-10,gaussian_noise,0.5,L1,3,1.0,0.0,0.0,0.0
cifar-10,gaussian_noise,0.5,L2,3,1.0,0.0,0.02043318460955203,0.004929415428679399
cifar-10,gaussian_noise,0.5,Final,3,1.0,0.0,0.02043318460955203,0.004929415428679399
cifar-10,gaussian_noise,1.0,L1,3,1.0,0.0,0.0,0.0
cifar-10,gaussian_noise,1.0,L2,3,1.0,0.0,0.0,0.0
cifar-10,gaussian_noise,1.0,Final,3,1.0,0.0,0.0,0.0
cifar-10,label_flip,0.1,L1,3,0.013880945008233003,0.003456695831496034,0.014369476314015925,0.002128560648851386
cifar-10,label_flip,0.1,L2,3,0.38367405772306523,0.030607664877893542,0.3508484081748479,0.01752952416453632
cifar-10,label_flip,0.1,Final,3,0.38367405772306523,0.030607664877893542,0.3508484081748479,0.01752952416453632
cifar-10,label_flip,0.25,L1,3,0.030995912363556827,0.012003732113505595,0.04074724399992743,0.002558981459414221
cifar-10,label_flip,0.25,L2,3,0.24799093532908165,0.0254622547933813,0.09238713910140377,0.011496438643133182
cifar-10,label_flip,0.25,Final,3,0.24799093532908165,0.0254622547933813,0.09238713910140377,0.011496438643133182
cifar-10,label_flip,0.5,L1,3,0.0843604794233024,0.00615187714143609,0.03678973072857177,0.004965294225642572
