dataset,attack,alpha,seed,round,n_total,n_attacker_gt,n_l1_rejected,n_l1_flagged,n_l1_accepted,n_l2_rejected,n_final_rejected,n_accepted_for_aggregation,n_total_true,accuracy,GDS,H,theta_adj_signal,n_rescued,n_confirmed,n_flagged_from_l1_summary,l1_median,l1_mad,l1_thr_reject,l1_thr_flag,l2_thr_distance,l2_thr_cosine
cifar-10,alie,0.1,123,11,24,6.0,2,0,22,7,7,17.0,24.0,0.314,0.681,0.1829,0.6843,0.0,0.0,0.0,91.5201,53.5307,305.6428,252.1121,153.9,0.8
cifar-10,alie,0.1,123,12,24,7.0,0,2,22,5,5,19.0,24.0,0.374,0.5851,0.1872,0.6843,2.0,0.0,2.0,147.9613,58.5488,382.1566,323.6078,198.76,0.8
cifar-10,alie,0.1,123,13,24,8.0,2,0,22,7,7,17.0,24.0,0.293,0.7558,0.1625,0.6843,0.0,0.0,0.0,94.7375,58.485,328.6775,270.1925,165.14,0.8
cifar-10,alie,0.1,123,14,24,9.0,0,1,23,8,8,16.0,24.0,0.377,0.6938,0.1746,0.6843,0.0,1.0,1.0,99.6657,58.9015,335.2717,276.3702,168.21,0.8
cifar-10,alie,0.1,123,15,24,8.0,1,0,23,11,11,13.0,24.0,0.3425,0.7251,0.1835,0.6843,0.0,0.0,0.0,101.965,48.3099,295.2044,246.8946,165.05,0.8
cifar-10,alie,0.1,123,16,24,5.0,1,0,23,6,6,18.0,24.0,0.4305,0.6947,0.1937,0.6843,0.0,0.0,0.0,92.7664,53.2231,305.6586,252.4356,165.69,0.8
cifar-10,alie,0.1,123,17,24,6.0,1,2,21,9,9,15.0,24.0,0.341,0.7622,0.1441,0.6843,0.0,2.0,2.0,104.2026,57.2504,333.2044,275.9539,167.91,0.8
cifar-10,alie,0.1,123,18,24,6.0,1,1,22,7,7,17.0,24.0,0.3845,0.7611,0.2131,0.6843,0.0,1.0,1.0,92.7202,58.4935,326.6942,268.2007,164.59,0.8
cifar-10,alie,0.1,123,19,24,4.0,1,1,22,7,7,17.0,24.0,0.388,0.7663,0.2093,0.6843,0.0,1.0,1.0,89.7944,54.0744,306.0918,252.0175,169.78,0.8
cifar-10,alie,0.1,123,20,24,7.0,1,0,23,6,6,18.0,24.0,0.455,0.3971,0.1745,0.6843,0.0,0.0,0.0,122.7863,44.7185,301.6605,256.9419,166.17,0.8
cifar-10,alie,0.1,123,21,24,7.0,0,2,22,7,7,17.0,24.0,0.4085,0.607,0.1769,0.6843,0.0,2.0,2.0,115.9405,63.1174,368.4099,305.2926,189.41,0.8
cifar-10,alie,0.1,123,22,24,8.0,1,0,23,8,8,16.0,24.0,0.456,0.8801,0.1932,0.6843,0.0,0.0,0.0,88.5236,63.4827,342.4542,278.9716,155.11,0.8
cifar-10,alie,0.1,123,23,24,6.0,0,2,22,9,9,15.0,24.0,0.5335,0.5169,0.1891,0.6843,0.0,2.0,2.0,121.5885,55.9648,345.4478,289.4829,190.92,0.8
cifar-10,alie,0.1,123,24,24,5.0,1,2,21,10,10,14.0,24.0,0.4885,0.5698,0.1403,0.6843,2.0,0.0,2.0,101.0528,46.7038,287.868,241.1642,171.71,0.8
cifar-10,alie,0.1,123,25,24,7.0,0,2,22,6,6,18.0,24.0,0.481,0.5747,0.2028,0.6843,0.0,2.0,2.0,126.6174,67.1246,395.1159,327.9913,196.38,0.8
cifar-10,alie,0.1,123,26,24,7.0,0,0,24,4,4,20.0,24.0,0.478,0.591,0.1657,0.6843,0.0,0.0,0.0,146.1931,83.3576,479.6237,396.266,244.64,0.8
cifar-10,alie,0.1,123,27,24,8.0,1,0,23,9,9,15.0,24.0,0.49,0.5105,0.177,0.6843,0.0,0.0,0.0,129.216,43.6221,303.7042,260.0822,182.12,0.8
cifar-10,alie,0.1,123,28,24,4.0,0,1,23,6,6,18.0,24.0,0.5485,0.6402,0.1333,0.6843,0.0,1.0,1.0,128.4058,69.1023,404.8148,335.7125,191.09,0.8
